Turn 1, Prize = Life 30 min
Turn 5444, Prize = Life 30 min
Turn 5445, Prize = Hammer 1X
Turn 5446, Prize = Hammer 3X
Turn 5447, Prize = Brush 1X
Turn 5448, Prize = Gem 35
Turn 5449, Prize = Brush 1X
Turn 5450, Prize = Brush 1X
Turn 5451, Prize = Hammer 1X
Turn 5452, Prize = Brush 1X
Turn 5453, Prize = Brush 3X
Turn 5454, Prize = Life 30 min
Turn 5455, Prize = Coin 750
Turn 5456, Prize = Gem 35
Turn 5457, Prize = Brush 1X
Turn 5458, Prize = Hammer 1X
Turn 5459, Prize = Coin 750
Turn 5460, Prize = Brush 3X
Turn 5461, Prize = Life 30 min
Turn 5462, Prize = Brush 1X
Turn 5463, Prize = Hammer 3X
Turn 5464, Prize = Hammer 3X
Turn 5465, Prize = Brush 1X
Turn 5466, Prize = Brush 1X
Turn 5467, Prize = Hammer 1X
Turn 5468, Prize = Hammer 3X
Turn 5469, Prize = Hammer 3X
Turn 5470, Prize = Brush 1X
Turn 5471, Prize = Gem 75
Turn 5472, Prize = Life 30 min
Turn 5473, Prize = Hammer 1X
Turn 5474, Prize = Life 30 min
Turn 5475, Prize = Brush 1X
Turn 5476, Prize = Brush 3X
Turn 5477, Prize = Hammer 1X
Turn 5478, Prize = Life 30 min
Turn 5479, Prize = Hammer 3X
Turn 5480, Prize = Hammer 1X
Turn 5481, Prize = Gem 75
Turn 5482, Prize = Life 30 min
Turn 5483, Prize = Gem 75
Turn 5484, Prize = Gem 75
Turn 5485, Prize = Life 30 min
Turn 5486, Prize = Brush 3X
Turn 5487, Prize = Life 30 min
Turn 5488, Prize = Hammer 1X
Turn 5489, Prize = Hammer 1X
Turn 5490, Prize = Life 30 min
Turn 5491, Prize = Brush 1X
Turn 5492, Prize = Brush 1X
Turn 5493, Prize = Brush 3X
Turn 5494, Prize = Gem 35
Turn 5495, Prize = Hammer 3X
Turn 5496, Prize = Life 30 min
Turn 5497, Prize = Brush 1X
Turn 5498, Prize = Hammer 3X
Turn 5499, Prize = Hammer 1X
Turn 5500, Prize = Brush 1X
Turn 5501, Prize = Hammer 1X
Turn 5502, Prize = Hammer 3X
Turn 5503, Prize = Brush 1X
Turn 5504, Prize = Gem 35
Turn 5505, Prize = Life 30 min
Turn 5506, Prize = Brush 1X
Turn 5507, Prize = Gem 35
Turn 5508, Prize = Gem 75
Turn 5509, Prize = Hammer 1X
Turn 5510, Prize = Brush 1X
Turn 5511, Prize = Brush 1X
Turn 5512, Prize = Life 30 min
Turn 5513, Prize = Hammer 1X
Turn 5514, Prize = Brush 1X
Turn 5515, Prize = Hammer 1X
Turn 5516, Prize = Life 30 min
Turn 5517, Prize = Brush 3X
Turn 5518, Prize = Life 30 min
Turn 5519, Prize = Gem 35
Turn 5520, Prize = Gem 75
Turn 5521, Prize = Brush 1X
Turn 5522, Prize = Hammer 1X
Turn 5523, Prize = Hammer 1X
Turn 5524, Prize = Brush 3X
Turn 5525, Prize = Hammer 3X
Turn 5526, Prize = Hammer 3X
Turn 5527, Prize = Brush 1X
Turn 5528, Prize = Gem 75
Turn 5529, Prize = Gem 75
Turn 5530, Prize = Hammer 3X
Turn 5531, Prize = Gem 35
Turn 5532, Prize = Brush 1X
Turn 5533, Prize = Hammer 1X
Turn 5534, Prize = Life 30 min
Turn 5535, Prize = Life 30 min
Turn 5536, Prize = Brush 3X
Turn 5537, Prize = Gem 35
Turn 5538, Prize = Life 30 min
Turn 5539, Prize = Life 30 min
Turn 5540, Prize = Gem 35
Turn 5541, Prize = Gem 35
Turn 5542, Prize = Hammer 1X
Turn 5543, Prize = Hammer 3X
Turn 5544, Prize = Brush 3X
Turn 5545, Prize = Brush 3X
Turn 5546, Prize = Brush 3X
Turn 5547, Prize = Hammer 1X
Turn 5548, Prize = Hammer 1X
Turn 5549, Prize = Brush 3X
Turn 5550, Prize = Hammer 1X
Turn 5551, Prize = Brush 1X
Turn 5552, Prize = Gem 35
Turn 5553, Prize = Life 30 min
Turn 5554, Prize = Life 30 min
Turn 5555, Prize = Life 30 min
Turn 5556, Prize = Brush 3X
Turn 5557, Prize = Gem 35
Turn 5558, Prize = Brush 1X
Turn 5559, Prize = Life 30 min
Turn 5560, Prize = Life 30 min
Turn 5561, Prize = Life 30 min
Turn 5562, Prize = Brush 1X
Turn 5563, Prize = Brush 1X
Turn 5564, Prize = Brush 1X
Turn 5565, Prize = Coin 750
Turn 5566, Prize = Life 30 min
Turn 5567, Prize = Brush 3X
Turn 5568, Prize = Life 30 min
Turn 5569, Prize = Gem 75
Turn 5570, Prize = Gem 35
Turn 5571, Prize = Gem 35
Turn 5572, Prize = Life 30 min
Turn 5573, Prize = Brush 3X
Turn 5574, Prize = Brush 1X
Turn 5575, Prize = Brush 1X
Turn 5576, Prize = Life 30 min
Turn 5577, Prize = Life 30 min
Turn 5578, Prize = Hammer 3X
Turn 5579, Prize = Life 30 min
Turn 5580, Prize = Life 30 min
Turn 5581, Prize = Gem 75
Turn 5582, Prize = Life 30 min
Turn 5583, Prize = Brush 1X
Turn 5584, Prize = Hammer 1X
Turn 5585, Prize = Gem 75
Turn 5586, Prize = Hammer 1X
Turn 5587, Prize = Hammer 3X
Turn 5588, Prize = Life 30 min
Turn 5589, Prize = Life 30 min
Turn 5590, Prize = Life 30 min
Turn 5591, Prize = Brush 1X
Turn 5592, Prize = Brush 3X
Turn 5593, Prize = Hammer 1X
Turn 5594, Prize = Brush 3X
Turn 5595, Prize = Gem 75
Turn 5596, Prize = Life 30 min
Turn 5597, Prize = Hammer 3X
Turn 5598, Prize = Hammer 3X
Turn 5599, Prize = Brush 1X
Turn 5600, Prize = Hammer 3X
Turn 5601, Prize = Brush 1X
Turn 5602, Prize = Life 30 min
Turn 5603, Prize = Life 30 min
Turn 5604, Prize = Gem 35
Turn 5605, Prize = Life 30 min
Turn 5606, Prize = Life 30 min
Turn 5607, Prize = Life 30 min
Turn 5608, Prize = Brush 1X
Turn 5609, Prize = Hammer 3X
Turn 5610, Prize = Life 30 min
Turn 5611, Prize = Life 30 min
Turn 5612, Prize = Brush 1X
Turn 5613, Prize = Brush 3X
Turn 5614, Prize = Brush 1X
Turn 5615, Prize = Coin 750
Turn 5616, Prize = Gem 35
Turn 5617, Prize = Brush 1X
Turn 5618, Prize = Brush 1X
Turn 5619, Prize = Hammer 1X
Turn 5620, Prize = Hammer 1X
Turn 5621, Prize = Hammer 1X
Turn 5622, Prize = Brush 3X
Turn 5623, Prize = Hammer 1X
Turn 5624, Prize = Brush 1X
Turn 5625, Prize = Brush 1X
Turn 5626, Prize = Life 30 min
Turn 5627, Prize = Hammer 1X
Turn 5628, Prize = Brush 3X
Turn 5629, Prize = Brush 3X
Turn 5630, Prize = Hammer 3X
Turn 5631, Prize = Brush 3X
Turn 5632, Prize = Brush 1X
Turn 5633, Prize = Hammer 1X
Turn 5634, Prize = Gem 35
Turn 5635, Prize = Hammer 3X
Turn 5636, Prize = Brush 1X
Turn 5637, Prize = Coin 750
Turn 5638, Prize = Gem 35
Turn 5639, Prize = Coin 750
Turn 5640, Prize = Brush 1X
Turn 5641, Prize = Gem 35
Turn 5642, Prize = Hammer 1X
Turn 5643, Prize = Life 30 min
Turn 5644, Prize = Hammer 1X
Turn 5645, Prize = Life 30 min
Turn 5646, Prize = Coin 750
Turn 5647, Prize = Brush 1X
Turn 5648, Prize = Hammer 1X
Turn 5649, Prize = Hammer 3X
Turn 5650, Prize = Brush 3X
Turn 5651, Prize = Brush 1X
Turn 5652, Prize = Gem 35
Turn 5653, Prize = Brush 1X
Turn 5654, Prize = Life 30 min
Turn 5655, Prize = Gem 75
Turn 5656, Prize = Hammer 1X
Turn 5657, Prize = Hammer 1X
Turn 5658, Prize = Brush 3X
Turn 5659, Prize = Life 30 min
Turn 5660, Prize = Brush 3X
Turn 5661, Prize = Life 30 min
Turn 5662, Prize = Brush 3X
Turn 5663, Prize = Hammer 3X
Turn 5664, Prize = Life 30 min
Turn 5665, Prize = Hammer 1X
Turn 5666, Prize = Brush 3X
Turn 5667, Prize = Brush 1X
Turn 5668, Prize = Life 30 min
Turn 5669, Prize = Hammer 3X
Turn 5670, Prize = Life 30 min
Turn 5671, Prize = Brush 3X
Turn 5672, Prize = Life 30 min
Turn 5673, Prize = Brush 1X
Turn 5674, Prize = Hammer 3X
Turn 5675, Prize = Coin 750
Turn 5676, Prize = Brush 1X
Turn 5677, Prize = Brush 1X
Turn 5678, Prize = Brush 3X
Turn 5679, Prize = Gem 75
Turn 5680, Prize = Hammer 3X
Turn 5681, Prize = Brush 1X
Turn 5682, Prize = Brush 1X
Turn 5683, Prize = Brush 3X
Turn 5684, Prize = Hammer 1X
Turn 5685, Prize = Gem 75
Turn 5686, Prize = Hammer 1X
Turn 5687, Prize = Brush 3X
Turn 5688, Prize = Coin 750
Turn 5689, Prize = Gem 35
Turn 5690, Prize = Life 30 min
Turn 5691, Prize = Life 30 min
Turn 5692, Prize = Life 30 min
Turn 5693, Prize = Brush 1X
Turn 5694, Prize = Hammer 3X
Turn 5695, Prize = Brush 1X
Turn 5696, Prize = Hammer 3X
Turn 5697, Prize = Hammer 1X
Turn 5698, Prize = Life 30 min
Turn 5699, Prize = Hammer 1X
Turn 5700, Prize = Life 30 min
Turn 5701, Prize = Brush 1X
Turn 5702, Prize = Brush 3X
Turn 5703, Prize = Life 30 min
Turn 5704, Prize = Brush 3X
Turn 5705, Prize = Brush 1X
Turn 5706, Prize = Brush 3X
Turn 5707, Prize = Gem 35
Turn 5708, Prize = Hammer 1X
Turn 5709, Prize = Hammer 1X
Turn 5710, Prize = Life 30 min
Turn 5711, Prize = Hammer 1X
Turn 5712, Prize = Hammer 1X
Turn 5713, Prize = Life 30 min
Turn 5714, Prize = Life 30 min
Turn 5715, Prize = Gem 35
Turn 5716, Prize = Life 30 min
Turn 5717, Prize = Gem 35
Turn 5718, Prize = Gem 75
Turn 5719, Prize = Brush 1X
Turn 5720, Prize = Hammer 1X
Turn 5721, Prize = Gem 35
Turn 5722, Prize = Brush 3X
Turn 5723, Prize = Hammer 1X
Turn 5724, Prize = Life 30 min
Turn 5725, Prize = Hammer 3X
Turn 5726, Prize = Gem 75
Turn 5727, Prize = Hammer 1X
Turn 5728, Prize = Life 30 min
Turn 5729, Prize = Life 30 min
Turn 5730, Prize = Hammer 3X
Turn 5731, Prize = Coin 750
Turn 5732, Prize = Gem 35
Turn 5733, Prize = Life 30 min
Turn 5734, Prize = Brush 3X
Turn 5735, Prize = Hammer 3X
Turn 5736, Prize = Brush 1X
Turn 5737, Prize = Gem 75
Turn 5738, Prize = Brush 1X
Turn 5739, Prize = Hammer 1X
Turn 5740, Prize = Gem 35
Turn 5741, Prize = Brush 1X
Turn 5742, Prize = Brush 3X
Turn 5743, Prize = Hammer 3X
Turn 5744, Prize = Brush 1X
Turn 5745, Prize = Brush 3X
Turn 5746, Prize = Life 30 min
Turn 5747, Prize = Brush 3X
Turn 5748, Prize = Hammer 3X
Turn 5749, Prize = Gem 35
Turn 5750, Prize = Life 30 min
Turn 5751, Prize = Hammer 1X
Turn 5752, Prize = Gem 35
Turn 5753, Prize = Life 30 min
Turn 5754, Prize = Brush 1X
Turn 5755, Prize = Hammer 1X
Turn 5756, Prize = Brush 1X
Turn 5757, Prize = Coin 750
Turn 5758, Prize = Life 30 min
Turn 5759, Prize = Gem 35
Turn 5760, Prize = Coin 750
Turn 5761, Prize = Life 30 min
Turn 5762, Prize = Brush 1X
Turn 5763, Prize = Brush 3X
Turn 5764, Prize = Brush 1X
Turn 5765, Prize = Brush 3X
Turn 5766, Prize = Hammer 1X
Turn 5767, Prize = Hammer 3X
Turn 5768, Prize = Hammer 1X
Turn 5769, Prize = Hammer 1X
Turn 5770, Prize = Brush 1X
Turn 5771, Prize = Hammer 3X
Turn 5772, Prize = Brush 1X
Turn 5773, Prize = Brush 1X
Turn 5774, Prize = Brush 1X
Turn 5775, Prize = Hammer 3X
Turn 5776, Prize = Coin 750
Turn 5777, Prize = Brush 1X
Turn 5778, Prize = Life 30 min
Turn 5779, Prize = Hammer 1X
Turn 5780, Prize = Hammer 1X
Turn 5781, Prize = Hammer 1X
Turn 5782, Prize = Hammer 3X
Turn 5783, Prize = Brush 1X
Turn 5784, Prize = Brush 3X
Turn 5785, Prize = Brush 1X
Turn 5786, Prize = Brush 3X
Turn 5787, Prize = Life 30 min
Turn 5788, Prize = Life 30 min
Turn 5789, Prize = Gem 35
Turn 5790, Prize = Hammer 3X
Turn 5791, Prize = Hammer 3X
Turn 5792, Prize = Gem 75
Turn 5793, Prize = Brush 1X
Turn 5794, Prize = Life 30 min
Turn 5795, Prize = Brush 1X
Turn 5796, Prize = Hammer 1X
Turn 5797, Prize = Brush 1X
Turn 5798, Prize = Gem 35
Turn 5799, Prize = Hammer 3X
Turn 5800, Prize = Brush 1X
Turn 5801, Prize = Life 30 min
Turn 5802, Prize = Brush 3X
Turn 5803, Prize = Brush 1X
Turn 5804, Prize = Life 30 min
Turn 5805, Prize = Brush 1X
Turn 5806, Prize = Coin 750
Turn 5807, Prize = Brush 1X
Turn 5808, Prize = Gem 35
Turn 5809, Prize = Hammer 1X
Turn 5810, Prize = Hammer 3X
Turn 5811, Prize = Brush 1X
Turn 5812, Prize = Hammer 1X
Turn 5813, Prize = Brush 3X
Turn 5814, Prize = Gem 75
Turn 5815, Prize = Life 30 min
Turn 5816, Prize = Brush 1X
Turn 5817, Prize = Brush 1X
Turn 5818, Prize = Gem 75
Turn 5819, Prize = Life 30 min
Turn 5820, Prize = Gem 35
Turn 5821, Prize = Gem 75
Turn 5822, Prize = Brush 3X
Turn 5823, Prize = Gem 35
Turn 5824, Prize = Life 30 min
Turn 5825, Prize = Gem 75
Turn 5826, Prize = Gem 35
Turn 5827, Prize = Hammer 1X
Turn 5828, Prize = Life 30 min
Turn 5829, Prize = Hammer 1X
Turn 5830, Prize = Coin 750
Turn 5831, Prize = Brush 3X
Turn 5832, Prize = Brush 3X
Turn 5833, Prize = Brush 1X
Turn 5834, Prize = Coin 750
Turn 5835, Prize = Brush 1X
Turn 5836, Prize = Coin 750
Turn 5837, Prize = Life 30 min
Turn 5838, Prize = Coin 750
Turn 5839, Prize = Gem 75
Turn 5840, Prize = Brush 1X
Turn 5841, Prize = Hammer 1X
Turn 5842, Prize = Brush 1X
Turn 5843, Prize = Life 30 min
Turn 5844, Prize = Hammer 3X
Turn 5845, Prize = Hammer 1X
Turn 5846, Prize = Hammer 1X
Turn 5847, Prize = Brush 3X
Turn 5848, Prize = Brush 1X
Turn 5849, Prize = Life 30 min
Turn 5850, Prize = Coin 750
Turn 5851, Prize = Hammer 1X
Turn 5852, Prize = Brush 1X
Turn 5853, Prize = Hammer 1X
Turn 5854, Prize = Coin 750
Turn 5855, Prize = Hammer 1X
Turn 5856, Prize = Hammer 1X
Turn 5857, Prize = Brush 1X
Turn 5858, Prize = Hammer 1X
Turn 5859, Prize = Brush 1X
Turn 5860, Prize = Brush 1X
Turn 5861, Prize = Gem 75
Turn 5862, Prize = Brush 1X
Turn 5863, Prize = Life 30 min
Turn 5864, Prize = Brush 1X
Turn 5865, Prize = Brush 1X
Turn 5866, Prize = Hammer 3X
Turn 5867, Prize = Gem 75
Turn 5868, Prize = Life 30 min
Turn 5869, Prize = Brush 1X
Turn 5870, Prize = Hammer 1X
Turn 5871, Prize = Brush 3X
Turn 5872, Prize = Brush 1X
Turn 5873, Prize = Brush 1X
Turn 5874, Prize = Life 30 min
Turn 5875, Prize = Hammer 1X
Turn 5876, Prize = Life 30 min
Turn 5877, Prize = Brush 1X
Turn 5878, Prize = Life 30 min
Turn 5879, Prize = Life 30 min
Turn 5880, Prize = Gem 35
Turn 5881, Prize = Hammer 3X
Turn 5882, Prize = Coin 750
Turn 5883, Prize = Hammer 1X
Turn 5884, Prize = Life 30 min
Turn 5885, Prize = Gem 35
Turn 5886, Prize = Life 30 min
Turn 5887, Prize = Brush 1X
Turn 5888, Prize = Hammer 1X
Turn 5889, Prize = Life 30 min
Turn 5890, Prize = Hammer 1X
Turn 5891, Prize = Hammer 1X
Turn 5892, Prize = Life 30 min
Turn 5893, Prize = Life 30 min
Turn 5894, Prize = Life 30 min
Turn 5895, Prize = Gem 35
Turn 5896, Prize = Hammer 1X
Turn 5897, Prize = Hammer 1X
Turn 5898, Prize = Brush 1X
Turn 5899, Prize = Hammer 1X
Turn 5900, Prize = Life 30 min
Turn 5901, Prize = Brush 1X
Turn 5902, Prize = Brush 3X
Turn 5903, Prize = Life 30 min
Turn 5904, Prize = Life 30 min
Turn 5905, Prize = Gem 35
Turn 5906, Prize = Brush 1X
Turn 5907, Prize = Gem 35
Turn 5908, Prize = Brush 3X
Turn 5909, Prize = Brush 3X
Turn 5910, Prize = Hammer 1X
Turn 5911, Prize = Life 30 min
Turn 5912, Prize = Hammer 1X
Turn 5913, Prize = Brush 1X
Turn 5914, Prize = Gem 75
Turn 5915, Prize = Gem 35
Turn 5916, Prize = Coin 750
Turn 5917, Prize = Life 30 min
Turn 5918, Prize = Brush 1X
Turn 5919, Prize = Brush 1X
Turn 5920, Prize = Coin 750
Turn 5921, Prize = Hammer 1X
Turn 5922, Prize = Hammer 3X
Turn 5923, Prize = Hammer 1X
Turn 5924, Prize = Hammer 1X
Turn 5925, Prize = Brush 3X
Turn 5926, Prize = Hammer 1X
Turn 5927, Prize = Gem 35
Turn 5928, Prize = Hammer 1X
Turn 5929, Prize = Gem 35
Turn 5930, Prize = Hammer 3X
Turn 5931, Prize = Brush 1X
Turn 5932, Prize = Hammer 3X
Turn 5933, Prize = Brush 3X
Turn 5934, Prize = Brush 1X
Turn 5935, Prize = Brush 1X
Turn 5936, Prize = Coin 750
Turn 5937, Prize = Hammer 1X
Turn 5938, Prize = Gem 75
Turn 5939, Prize = Gem 75
Turn 5940, Prize = Brush 3X
Turn 5941, Prize = Hammer 3X
Turn 5942, Prize = Life 30 min
Turn 5943, Prize = Life 30 min
Turn 5944, Prize = Hammer 3X
Turn 5945, Prize = Hammer 1X
Turn 5946, Prize = Brush 3X
Turn 5947, Prize = Brush 1X
Turn 5948, Prize = Hammer 1X
Turn 5949, Prize = Brush 3X
Turn 5950, Prize = Hammer 1X
Turn 5951, Prize = Brush 1X
Turn 5952, Prize = Life 30 min
Turn 5953, Prize = Brush 3X
Turn 5954, Prize = Life 30 min
Turn 5955, Prize = Hammer 3X
Turn 5956, Prize = Coin 750
Turn 5957, Prize = Brush 1X
Turn 5958, Prize = Gem 35
Turn 5959, Prize = Hammer 1X
Turn 5960, Prize = Gem 35
Turn 5961, Prize = Hammer 1X
Turn 5962, Prize = Gem 35
Turn 5963, Prize = Hammer 1X
Turn 5964, Prize = Hammer 3X
Turn 5965, Prize = Brush 3X
Turn 5966, Prize = Hammer 1X
Turn 5967, Prize = Brush 1X
Turn 5968, Prize = Brush 1X
Turn 5969, Prize = Hammer 1X
Turn 5970, Prize = Brush 1X
Turn 5971, Prize = Hammer 1X
Turn 5972, Prize = Hammer 3X
Turn 5973, Prize = Brush 3X
Turn 5974, Prize = Brush 1X
Turn 5975, Prize = Brush 3X
Turn 5976, Prize = Life 30 min
Turn 5977, Prize = Hammer 3X
Turn 5978, Prize = Hammer 1X
Turn 5979, Prize = Hammer 1X
Turn 5980, Prize = Life 30 min
Turn 5981, Prize = Life 30 min
Turn 5982, Prize = Hammer 1X
Turn 5983, Prize = Brush 3X
Turn 5984, Prize = Life 30 min
Turn 5985, Prize = Hammer 3X
Turn 5986, Prize = Brush 1X
Turn 5987, Prize = Hammer 1X
Turn 5988, Prize = Coin 750
Turn 5989, Prize = Life 30 min
Turn 5990, Prize = Brush 3X
Turn 5991, Prize = Gem 35
Turn 5992, Prize = Coin 750
Turn 5993, Prize = Hammer 1X
Turn 5994, Prize = Coin 750
Turn 5995, Prize = Hammer 3X
Turn 5996, Prize = Gem 75
Turn 5997, Prize = Life 30 min
Turn 5998, Prize = Brush 1X
Turn 5999, Prize = Hammer 3X
Turn 6000, Prize = Gem 35
Turn 6001, Prize = Life 30 min
Turn 6002, Prize = Gem 35
Turn 6003, Prize = Hammer 3X
Turn 6004, Prize = Brush 3X
Turn 6005, Prize = Hammer 1X
Turn 6006, Prize = Hammer 1X
Turn 6007, Prize = Life 30 min
Turn 6008, Prize = Brush 1X
Turn 6009, Prize = Brush 1X
Turn 6010, Prize = Gem 75
Turn 6011, Prize = Brush 1X
Turn 6012, Prize = Hammer 1X
Turn 6013, Prize = Hammer 1X
Turn 6014, Prize = Gem 35
Turn 6015, Prize = Life 30 min
Turn 6016, Prize = Hammer 1X
Turn 6017, Prize = Hammer 3X
Turn 6018, Prize = Gem 75
Turn 6019, Prize = Life 30 min
Turn 6020, Prize = Hammer 1X
Turn 6021, Prize = Brush 1X
Turn 6022, Prize = Brush 3X
Turn 6023, Prize = Brush 1X
Turn 6024, Prize = Brush 1X
Turn 6025, Prize = Brush 1X
Turn 6026, Prize = Life 30 min
Turn 6027, Prize = Hammer 1X
Turn 6028, Prize = Hammer 3X
Turn 6029, Prize = Hammer 3X
Turn 6030, Prize = Coin 750
Turn 6031, Prize = Hammer 1X
Turn 6032, Prize = Hammer 1X
Turn 6033, Prize = Hammer 1X
Turn 6034, Prize = Gem 75
Turn 6035, Prize = Gem 35
Turn 6036, Prize = Life 30 min
Turn 6037, Prize = Life 30 min
Turn 6038, Prize = Hammer 1X
Turn 6039, Prize = Hammer 1X
Turn 6040, Prize = Life 30 min
Turn 6041, Prize = Brush 3X
Turn 6042, Prize = Hammer 1X
Turn 6043, Prize = Brush 1X
Turn 6044, Prize = Brush 3X
Turn 6045, Prize = Hammer 1X
Turn 6046, Prize = Hammer 1X
Turn 6047, Prize = Life 30 min
Turn 6048, Prize = Life 30 min
Turn 6049, Prize = Brush 3X
Turn 6050, Prize = Hammer 1X
Turn 6051, Prize = Life 30 min
Turn 6052, Prize = Coin 750
Turn 6053, Prize = Brush 1X
Turn 6054, Prize = Brush 1X
Turn 6055, Prize = Hammer 1X
Turn 6056, Prize = Brush 1X
Turn 6057, Prize = Hammer 1X
Turn 6058, Prize = Hammer 1X
Turn 6059, Prize = Life 30 min
Turn 6060, Prize = Life 30 min
Turn 6061, Prize = Brush 3X
Turn 6062, Prize = Brush 3X
Turn 6063, Prize = Life 30 min
Turn 6064, Prize = Hammer 1X
Turn 6065, Prize = Life 30 min
Turn 6066, Prize = Brush 1X
Turn 6067, Prize = Brush 3X
Turn 6068, Prize = Life 30 min
Turn 6069, Prize = Hammer 1X
Turn 6070, Prize = Hammer 1X
Turn 6071, Prize = Brush 1X
Turn 6072, Prize = Hammer 3X
Turn 6073, Prize = Gem 75
Turn 6074, Prize = Hammer 1X
Turn 6075, Prize = Hammer 1X
Turn 6076, Prize = Coin 750
Turn 6077, Prize = Brush 3X
Turn 6078, Prize = Hammer 1X
Turn 6079, Prize = Gem 35
Turn 6080, Prize = Hammer 1X
Turn 6081, Prize = Brush 1X
Turn 6082, Prize = Brush 1X
Turn 6083, Prize = Coin 750
Turn 6084, Prize = Hammer 1X
Turn 6085, Prize = Brush 1X
Turn 6086, Prize = Brush 1X
Turn 6087, Prize = Brush 1X
Turn 6088, Prize = Life 30 min
Turn 6089, Prize = Life 30 min
Turn 6090, Prize = Coin 750
Turn 6091, Prize = Brush 3X
Turn 6092, Prize = Hammer 1X
Turn 6093, Prize = Life 30 min
Turn 6094, Prize = Gem 35
Turn 6095, Prize = Brush 1X
Turn 6096, Prize = Hammer 1X
Turn 6097, Prize = Hammer 3X
Turn 6098, Prize = Hammer 1X
Turn 6099, Prize = Brush 1X
Turn 6100, Prize = Coin 750
Turn 6101, Prize = Gem 35
Turn 6102, Prize = Life 30 min
Turn 6103, Prize = Coin 750
Turn 6104, Prize = Brush 1X
Turn 6105, Prize = Brush 1X
Turn 6106, Prize = Life 30 min
Turn 6107, Prize = Life 30 min
Turn 6108, Prize = Brush 1X
Turn 6109, Prize = Brush 1X
Turn 6110, Prize = Brush 3X
Turn 6111, Prize = Life 30 min
Turn 6112, Prize = Life 30 min
Turn 6113, Prize = Gem 35
Turn 6114, Prize = Hammer 1X
Turn 6115, Prize = Brush 1X
Turn 6116, Prize = Life 30 min
Turn 6117, Prize = Life 30 min
Turn 6118, Prize = Brush 1X
Turn 6119, Prize = Brush 3X
Turn 6120, Prize = Brush 3X
Turn 6121, Prize = Brush 1X
Turn 6122, Prize = Coin 750
Turn 6123, Prize = Life 30 min
Turn 6124, Prize = Brush 1X
Turn 6125, Prize = Hammer 3X
Turn 6126, Prize = Brush 1X
Turn 6127, Prize = Brush 1X
Turn 6128, Prize = Life 30 min
Turn 6129, Prize = Hammer 1X
Turn 6130, Prize = Hammer 1X
Turn 6131, Prize = Hammer 1X
Turn 6132, Prize = Coin 750
Turn 6133, Prize = Brush 1X
Turn 6134, Prize = Hammer 1X
Turn 6135, Prize = Life 30 min
Turn 6136, Prize = Gem 75
Turn 6137, Prize = Brush 1X
Turn 6138, Prize = Hammer 1X
Turn 6139, Prize = Gem 35
Turn 6140, Prize = Gem 75
Turn 6141, Prize = Hammer 1X
Turn 6142, Prize = Gem 75
Turn 6143, Prize = Hammer 1X
Turn 6144, Prize = Life 30 min
Turn 6145, Prize = Brush 3X
Turn 6146, Prize = Brush 1X
Turn 6147, Prize = Hammer 1X
Turn 6148, Prize = Gem 35
Turn 6149, Prize = Gem 35
Turn 6150, Prize = Life 30 min
Turn 6151, Prize = Brush 3X
Turn 6152, Prize = Brush 1X
Turn 6153, Prize = Brush 1X
Turn 6154, Prize = Hammer 3X
Turn 6155, Prize = Hammer 1X
Turn 6156, Prize = Gem 35
Turn 6157, Prize = Gem 75
Turn 6158, Prize = Brush 1X
Turn 6159, Prize = Hammer 1X
Turn 6160, Prize = Life 30 min
Turn 6161, Prize = Hammer 3X
Turn 6162, Prize = Gem 35
Turn 6163, Prize = Hammer 1X
Turn 6164, Prize = Gem 35
Turn 6165, Prize = Hammer 3X
Turn 6166, Prize = Coin 750
Turn 6167, Prize = Life 30 min
Turn 6168, Prize = Gem 75
Turn 6169, Prize = Gem 75
Turn 6170, Prize = Brush 1X
Turn 6171, Prize = Hammer 1X
Turn 6172, Prize = Brush 1X
Turn 6173, Prize = Gem 75
Turn 6174, Prize = Gem 35
Turn 6175, Prize = Brush 3X
Turn 6176, Prize = Life 30 min
Turn 6177, Prize = Life 30 min
Turn 6178, Prize = Hammer 3X
Turn 6179, Prize = Coin 750
Turn 6180, Prize = Brush 1X
Turn 6181, Prize = Life 30 min
Turn 6182, Prize = Gem 35
Turn 6183, Prize = Brush 1X
Turn 6184, Prize = Brush 1X
Turn 6185, Prize = Gem 35
Turn 6186, Prize = Hammer 3X
Turn 6187, Prize = Life 30 min
Turn 6188, Prize = Brush 1X
Turn 6189, Prize = Hammer 1X
Turn 6190, Prize = Life 30 min
Turn 6191, Prize = Gem 35
Turn 6192, Prize = Hammer 1X
Turn 6193, Prize = Gem 35
Turn 6194, Prize = Brush 1X
Turn 6195, Prize = Brush 1X
Turn 6196, Prize = Brush 3X
Turn 6197, Prize = Brush 1X
Turn 6198, Prize = Gem 75
Turn 6199, Prize = Brush 3X
Turn 6200, Prize = Hammer 3X
Turn 6201, Prize = Brush 1X
Turn 6202, Prize = Hammer 1X
Turn 6203, Prize = Life 30 min
Turn 6204, Prize = Brush 1X
Turn 6205, Prize = Hammer 1X
Turn 6206, Prize = Life 30 min
Turn 6207, Prize = Brush 3X
Turn 6208, Prize = Life 30 min
Turn 6209, Prize = Brush 1X
Turn 6210, Prize = Life 30 min
Turn 6211, Prize = Gem 35
Turn 6212, Prize = Gem 35
Turn 6213, Prize = Brush 3X
Turn 6214, Prize = Hammer 3X
Turn 6215, Prize = Hammer 3X
Turn 6216, Prize = Hammer 1X
